"HS2","HS4","HS6","HS8","HS10"
,"4115","070529","03023590","0207273000"
,"4201","070600","03023591","0207273001"
,"4202","070610","03023599","0207273009"
,"4203","070690","03023610","0207274000"
,"4204","070700","03023690","0207274001"
,"4205","070800","03023910","0207274009"
,"4206","070810","03023911","0207275000"
,"4301","070820","03023919","0207275001"
,"4302","070890","03023920","0207275009"
,"4303","070900","03023980","0207276000"
,"4304","070910","03023990","0207276001"
,"4401","070920","03023991","0207276009"
,"4402","070930","03023999","0207277000"
,"4403","070940","03024000","0207277001"
,"4404","070951","03024005","0207277009"
,"4405","070952","03024010","0207278000"
,"4406","070953","03024098","0207278001"
,"4407","070954","03024100","0207278009"
,"4408","070955","03024200","0207279100"
,"4409","070956","03024310","0207279101"
,"4410","070959","03024330","0207279109"
,"4411","070960","03024390","0207279900"
,"4412","070970","03024400","0207279901"
,"4413","070990","03024510","0207279909"
,"4414","070991","03024530","0207321100"
,"4415","070992","03024590","0207321101"
,"4416","070993","03024600","0207321109"
,"4417","070999","03024700","0207321500"
,"4418","071000","03024911","0207321501"
,"4419","071010","03024919","0207321509"
,"4420","071021","03024990","0207321900"
,"4421","071022","03025010","0207321901"
,"4501","071029","03025090","0207321909"
,"4502","071030","03025110","0207325100"
,"4503","071040","03025190","0207325101"
,"4504","071080","03025200","0207325109"
,"4601","071090","03025300","0207325900"
,"4602","071100","03025411","0207325901"
,"4701","071110","03025415","0207325909"
,"4702","071120","03025419","0207329000"
,"4703","071130","03025490","0207329001"
,"4704","071140","03025500","0207329009"
,"4705","071151","03025600","0207331100"
,"4706","071159","03025910","0207331101"
,"4707","071190","03025920","0207331109"
,"4801","071220","03025930","0207331900"
,"4802","071230","03025940","0207331901"
,"4803","071231","03025990","0207331909"
,"4804","071232","03026110","0207335100"
,"4805","071233","03026130","0207335101"
,"4806","071234","03026180","0207335109"
,"4807","071239","03026190","0207335900"
,"4808","071290","03026191","0207335901"
,"4809","071300","03026198","0207335909"
,"4810","071310","03026200","0207339000"
,"4811","071320","03026300","0207339001"
,"4812","071331","03026400","0207339009"
,"4813","071332","03026405","0207341000"
,"4814","071333","03026410","0207341001"
,"4815","071334","03026498","0207341009"
,"4816","071335","03026520","0207349000"
,"4817","071339","03026550","0207349001"
,"4818","071340","03026590","0207349009"
,"4819","071350","03026600","0207351100"
,"4820","071360","03026700","0207351101"
,"4821","071390","03026800","0207351109"
,"4822","071410","03026911","0207351501"
,"4823","071420","03026919","0207351502"
,"4901","071430","03026921","0207351503"
,"4902","071440","03026925","0207351504"
,"4903","071450","03026931","0207351505"
,"4904","071490","03026933","0207351509"
,"4905","080110","03026935","0207352100"
,"4906","080111","03026941","0207352101"
,"4907","080112","03026945","0207352109"
,"4908","080119","03026951","0207352300"
,"4909","080121","03026955","0207352301"
,"4910","080122","03026961","0207352309"
,"4911","080131","03026965","0207352500"
,"5001","080132","03026966","0207352501"
,"5002","080211","03026967","0207352509"
,"5003","080212","03026968","0207353101"
,"5004","080221","03026969","0207353102"
,"5005","080222","03026975","0207353103"
,"5006","080231","03026981","0207353104"
,"5007","080232","03026985","0207353105"
,"5101","080240","03026986","0207353109"
,"5102","080241","03026987","0207354101"
,"5103","080242","03026988","0207354102"
,"5104","080250","03026991","0207354103"
,"5105","080251","03026992","0207354104"
,"5106","080252","03026993","0207354105"
,"5107","080260","03026994","0207354109"
,"5108","080261","03026995","0207355100"
,"5109","080262","03026999","0207355101"
,"5110","080270","03027000","0207355109"
,"5111","080280","03027100","0207355301"
,"5112","080290","03027200","0207355302"
,"5113","080291","03027300","0207355303"
,"5201","080292","03027400","0207355304"
,"5202","080299","03027900","0207355305"
,"5203","080300","03028110","0207355309"
,"5204","080310","03028120","0207356100"
,"5205","080390","03028130","0207356101"
,"5206","080410","03028150","0207356109"
,"5207","080420","03028160","0207356301"
,"5208","080430","03028190","0207356302"
,"5209","080440","03028200","0207356303"
,"5210","080450","03028300","0207356304"
,"5211","080510","03028410","0207356305"
,"5212","080520","03028490","0207356309"
,"5301","080521","03028510","0207357100"
,"5302","080522","03028530","0207357101"
,"5303","080529","03028590","0207357109"
,"5304","080530","03028910","0207357901"
,"5305","080540","03028921","0207357902"
,"5306","080550","03028929","0207357903"
,"5307","080590","03028931","0207357904"
,"5308","080610","03028939","0207357905"
,"5309","080620","03028940","0207357909"
,"5310","080700","03028950","0207359100"
,"5311","080710","03028960","0207359101"
,"5401","080711","03028990","0207359109"
,"5402","080719","03029000","0207359900"
,"5403","080720","03029100","0207359901"
,"5404","080800","03029200","0207359909"
,"5405","080810","03029900","0207361100"
,"5406","080820","03030000","0207361101"
,"5407","080830","03031000","0207361109"
,"5408","080840","03031100","0207361501"
,"5501","080900","03031200","0207361502"
,"5502","080910","03031300","0207361503"
,"5503","080920","03031410","0207361504"
,"5504","080921","03031420","0207361505"
,"5505","080929","03031490","0207361509"
,"5506","080930","03031900","0207362100"
,"5507","080940","03032110","0207362101"
,"5508","081000","03032120","0207362109"
,"5509","081010","03032180","0207362300"
,"5510","081020","03032190","0207362301"
,"5511","081030","03032200","0207362309"
,"5512","081040","03032300","0207362500"
,"5513","081050","03032400","0207362501"
,"5514","081060","03032500","0207362509"
,"5515","081070","03032600","0207363101"
,"5516","081090","03032900","0207363102"
,"5601","081100","03033110","0207363103"
,"5602","081110","03033130","0207363104"
,"5603","081120","03033190","0207363105"
,"5604","081190","03033200","0207363109"
,"5605","081200","03033300","0207364101"
,"5606","081210","03033400","0207364102"
,"5607","081220","03033910","0207364103"
,"5608","081290","03033920","0207364104"
,"5609","081310","03033930","0207364105"
,"5701","081320","03033950","0207364109"
,"5702","081330","03033970","0207365100"
,"5703","081340","03033980","0207365101"
,"5704","081350","03033985","0207365109"
,"5705","081400","03034110","0207365301"
,"5801","090100","03034111","0207365302"
,"5802","090111","03034113","0207365303"
,"5803","090112","03034119","0207365304"
,"5804","090121","03034190","0207365305"
,"5805","090122","03034212","0207365309"
,"5806","090190","03034218","0207366100"
,"5807","090200","03034232","0207366101"
,"5808","090210","03034238","0207366109"
,"5809","090220","03034242","0207366301"
,"5810","090230","03034248","0207366302"
,"5811","090240","03034252","0207366303"
,"5901","090300","03034258","0207366304"
,"5902","090400","03034290","0207366305"
,"5903","090411","03034310","0207366309"
,"5904","090412","03034311","0207367100"
,"5905","090420","03034313","0207367101"
,"5906","090421","03034319","0207367109"
,"5907","090422","03034390","0207367901"
,"5908","090500","03034410","0207367902"
,"5909","090510","03034411","0207367903"
,"5910","090520","03034413","0207367904"
,"5911","090610","03034419","0207367905"
,"6001","090611","03034490","0207367909"
,"6002","090619","03034511","0207368100"
,"6003","090620","03034512","0207368101"
,"6004","090700","03034513","0207368109"
,"6005","090710","03034518","0207368500"
,"6006","090720","03034519","0207368501"
,"6101","090810","03034590","0207368509"
,"6102","090811","03034591","0207368900"
,"6103","090812","03034599","0207368901"
,"6104","090820","03034610","0207368909"
,"6105","090821","03034611","0207369000"
,"6106","090822","03034613","0207369001"
,"6107","090830","03034619","0207369009"
,"6108","090831","03034690","0207412001"
,"6109","090832","03034920","0207412009"
,"6110","090900","03034921","0207413001"
,"6111","090910","03034923","0207413009"
,"6112","090920","03034929","0207418001"
,"6113","090921","03034931","0207418009"
,"6114","090922","03034933","0207423001"
,"6115","090930","03034939","0207423009"
,"6116","090931","03034941","0207428001"
,"6117","090932","03034943","0207428009"
,"6201","090940","03034949","0207430001"
,"6202","090950","03034980","0207430009"
,"6203","090961","03034985","0207441001"
,"6204","090962","03034990","0207441009"
,"6205","091000","03035000","0207442101"
,"6206","091010","03035005","0207442109"
,"6207","091011","03035010","0207443101"
,"6208","091012","03035098","0207443109"
,"6209","091020","03035100","0207444101"
,"6210","091030","03035210","0207444109"
,"6211","091040","03035230","0207445101"
,"6212","091050","03035290","0207445109"
,"6213","091090","03035310","0207446101"
,"6214","091091","03035330","0207446109"
,"6215","091099","03035390","0207447101"
,"6216","100110","03035410","0207447109"
,"6217","100111","03035490","0207448101"
,"6301","100119","03035510","0207448109"
,"6302","100190","03035530","0207449101"
,"6303","100191","03035590","0207449109"
,"6304","100199","03035600","0207449901"
,"6305","100200","03035700","0207449909"
,"6306","100210","03035910","0207451001"
,"6307","100290","03035921","0207451009"
,"6308","100300","03035929","0207452101"
,"6309","100310","03035990","0207452109"
,"6310","100390","03036011","0207453101"
,"6401","100400","03036019","0207453109"
,"6402","100410","03036090","0207454101"
,"6403","100490","03036100","0207454109"
,"6404","100510","03036200","0207455101"
,"6405","100590","03036310","0207455109"
,"6406","100600","03036330","0207456101"
,"6501","100610","03036390","0207456109"
,"6502","100620","03036400","0207457101"
,"6503","100630","03036500","0207457109"
,"6504","100640","03036611","0207458101"
,"6505","100700","03036612","0207458109"
,"6506","100710","03036613","0207459301"
,"6507","100790","03036619","0207459309"
,"6601","100810","03036690","0207459501"
,"6602","100820","03036700","0207459509"
,"6603","100821","03036810","0207459901"
,"6701","100829","03036890","0207459909"
,"6702","100830","03036910","0207511001"
,"6703","100840","03036930","0207511009"
,"6704","100850","03036950","0207519001"
,"6801","100860","03036970","0207519009"
,"6802","100890","03036980","0207521001"
,"6803","110100","03036990","0207521009"
,"6804","110200","03037110","0207529001"
